SMILES,TYPE,IC50
COC(=O)c1ccc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3[nH]2)cc1,1b(BOC) + 13b + 5a,
COC(=O)c1cccc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3[nH]2)c1,1b(BOC) + 13b + 6a,
CCOC(=O)c1csc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3[nH]2)n1,1b(BOC) + 13b + 7a,
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3[nH]2)cs1,1b(BOC) + 13b + 8a,
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3[nH]2)cn1C,1b(BOC) + 13b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc2cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc2[nH]1)CC3,1b(BOC) + 13b + 10a,
COC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4[nH]3)ccc2s1,1b(BOC) + 13b + 11a,
COC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4[nH]3)ccc2o1,1b(BOC) + 13b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4[nH]3)ccc2[nH]1,1b(BOC) + 13b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4[nH]3)cc2o1,1b(BOC) + 13b + 14a,
COC(=O)c1nc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4[nH]3)ccc2[nH]1,1b(BOC) + 13b + 15a,
COC(=O)c1cc(NC(=O)c2nc3ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cc3o2)cn1C,1b(BOC) + 14b + 1a,
COC(=O)c1ccc(NC(=O)c2nc3ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cc3o2)cc1,1b(BOC) + 14b + 5a,
COC(=O)c1cccc(NC(=O)c2nc3ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cc3o2)c1,1b(BOC) + 14b + 6a,
CCOC(=O)c1csc(NC(=O)c2nc3ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cc3o2)n1,1b(BOC) + 14b + 7a,
COC(=O)c1cc(NC(=O)c2nc3ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cc3o2)cs1,1b(BOC) + 14b + 8a,
CCOC(=O)c1nc(NC(=O)c2nc3ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cc3o2)cn1C,1b(BOC) + 14b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1nc2ccc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cc2o1)CC3,1b(BOC) + 14b + 10a,
COC(=O)c1cc2cc(NC(=O)c3nc4ccc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)cc4o3)ccc2s1,1b(BOC) + 14b + 11a,
COC(=O)c1cc2cc(NC(=O)c3nc4ccc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)cc4o3)ccc2o1,1b(BOC) + 14b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3nc4ccc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)cc4o3)ccc2[nH]1,1b(BOC) + 14b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3nc4ccc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)cc4o3)cc2o1,1b(BOC) + 14b + 14a,
COC(=O)c1nc2cc(NC(=O)c3nc4ccc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)cc4o3)ccc2[nH]1,1b(BOC) + 14b + 15a,
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cn2C)cn1C,1b(DMABA) + 1b + 1a,
COC(=O)c1ccc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cn2C)cc1,1b(DMABA) + 1b + 5a,
COC(=O)c1cccc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cn2C)c1,1b(DMABA) + 1b + 6a,
CCOC(=O)c1csc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cn2C)n1,1b(DMABA) + 1b + 7a,
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cn2C)cs1,1b(DMABA) + 1b + 8a,
CCOC(=O)c1nc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cn2C)cn1C,1b(DMABA) + 1b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc(NC(=O)CCCN(C)C)cn2C)cn1C)CC3,1b(DMABA) + 1b + 10a,
COC(=O)c1cc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cn3C)ccc2s1,1b(DMABA) + 1b + 11a,
COC(=O)c1cc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cn3C)ccc2o1,1b(DMABA) + 1b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cn3C)ccc2[nH]1,1b(DMABA) + 1b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cn3C)cc2o1,1b(DMABA) + 1b + 14a,
COC(=O)c1nc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cn3C)ccc2[nH]1,1b(DMABA) + 1b + 15a,
COC(=O)c1cc(NC(=O)c2ccc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cc2)cn1C,1b(DMABA) + 5b + 1a,
COC(=O)c1ccc(NC(=O)c2ccc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cc2)cc1,1b(DMABA) + 5b + 5a,
COC(=O)c1cccc(NC(=O)c2ccc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cc2)c1,1b(DMABA) + 5b + 6a,
