SMILES,IC50,censored
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4c5c(ccc4[nH]2)N(C(=O)OC(C)(C)C)CC5)cs1)CC3,0.8,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3c5c(ccc3[nH]2)N(C(=O)OC(C)(C)C)CC5)CC4)cn1C,0.44,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5c6c(ccc5[nH]4)N(C(=O)OC(C)(C)C)CC6)ccc3s2)cn1C,0.55,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc5c6c(ccc5[nH]4)N(C(=O)OC(C)(C)C)CC6)ccc3o2)cn1C,1.3,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4c5c(ccc4[nH]3)N(C(=O)CCCN(C)C)CC5)cn2C)cn1C,51.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4c5c(ccc4[nH]2)N(C(=O)CCCN(C)C)CC5)cs1)CC3,1000.0,True
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3c5c(ccc3[nH]2)N(C(=O)CCCN(C)C)CC5)CC4)cn1C,32.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5c6c(ccc5[nH]4)N(C(=O)CCCN(C)C)CC6)ccc3s2)cn1C,100.0,True
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4cc(NC(=O)OC(C)(C)C)ccc4s3)cn2C)cn1C,3.6,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4cc(NC(=O)OC(C)(C)C)ccc4s2)cs1)CC3,35.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3cc(NC(=O)OC(C)(C)C)ccc3s2)CC4)cn1C,17.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5s4)ccc3s2)cn1C,32.0,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5s4)ccc3o2)cn1C,0.069,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4cc(NC(=O)CCCN(C)C)ccc4s3)cn2C)cn1C,46.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4cc(NC(=O)CCCN(C)C)ccc4s2)cs1)CC3,0.46,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3cc(NC(=O)CCCN(C)C)ccc3s2)CC4)cn1C,50.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)CCCN(C)C)ccc5s4)ccc3s2)cn1C,33.0,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4cc(NC(=O)OC(C)(C)C)ccc4o3)cn2C)cn1C,22.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4cc(NC(=O)OC(C)(C)C)ccc4o2)cs1)CC3,67.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3cc(NC(=O)OC(C)(C)C)ccc3o2)CC4)cn1C,1.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5o4)ccc3s2)cn1C,1.3,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5o4)ccc3o2)cn1C,0.029,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4cc(NC(=O)CCCN(C)C)ccc4o3)cn2C)cn1C,33.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4cc(NC(=O)CCCN(C)C)ccc4o2)cs1)CC3,7.6,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3cc(NC(=O)CCCN(C)C)ccc3o2)CC4)cn1C,7.8,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)CCCN(C)C)ccc5o4)ccc3s2)cn1C,3.2,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4cc(NC(=O)OC(C)(C)C)ccc4[nH]3)cn2C)cn1C,21.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4cc(NC(=O)OC(C)(C)C)ccc4[nH]2)cs1)CC3,27.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3cc(NC(=O)OC(C)(C)C)ccc3[nH]2)CC4)cn1C,37.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5[nH]4)ccc3s2)cn1C,2.6,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5[nH]4)ccc3o2)cn1C,1.4,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4cc(NC(=O)CCCN(C)C)ccc4[nH]3)cn2C)cn1C,33.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4cc(NC(=O)CCCN(C)C)ccc4[nH]2)cs1)CC3,1000.0,True
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3cc(NC(=O)CCCN(C)C)ccc3[nH]2)CC4)cn1C,33.0,False
